secprov,seccionId,name,circuitoId,nombreAgrupacion,mesasTotalizadas,cantidadElectores,votos,anioEleccion
2,105,San Fernando,00872,EN BLANCO,35,14022,509,2023
2,105,San Fernando,00872,JxC,35,14022,2491,2023
2,105,San Fernando,00872,LLA,35,14022,1501,2023
2,105,San Fernando,00872,NO_VOTANTES,35,14022,6906,2023
2,105,San Fernando,00872,OTROS,35,14022,254,2023
2,105,San Fernando,00872,UxP,35,14022,2361,2023
2,105,San Fernando,00872,VOTANTES,35,14022,7116,2023
2,105,San Fernando,00873,EN BLANCO,11,3745,159,2023
2,105,San Fernando,00873,JxC,11,3745,1365,2023
2,105,San Fernando,00873,LLA,11,3745,627,2023
2,105,San Fernando,00873,NO_VOTANTES,11,3745,654,2023
2,105,San Fernando,00873,OTROS,11,3745,151,2023
2,105,San Fernando,00873,UxP,11,3745,789,2023
2,105,San Fernando,00873,VOTANTES,11,3745,3091,2023
2,105,San Fernando,00874,EN BLANCO,8,2456,132,2023
2,105,San Fernando,00874,JxC,8,2456,534,2023
2,105,San Fernando,00874,LLA,8,2456,381,2023
2,105,San Fernando,00874,NO_VOTANTES,8,2456,649,2023
2,105,San Fernando,00874,OTROS,8,2456,85,2023
2,105,San Fernando,00874,UxP,8,2456,675,2023
2,105,San Fernando,00874,VOTANTES,8,2456,1807,2023
2,105,San Fernando,00875,EN BLANCO,6,1901,108,2023
2,105,San Fernando,00875,JxC,6,1901,491,2023
2,105,San Fernando,00875,LLA,6,1901,370,2023
2,105,San Fernando,00875,NO_VOTANTES,6,1901,431,2023
2,105,San Fernando,00875,OTROS,6,1901,58,2023
2,105,San Fernando,00875,UxP,6,1901,443,2023
2,105,San Fernando,00875,VOTANTES,6,1901,1470,2023
2,105,San Fernando,00876,EN BLANCO,8,2522,235,2023
2,105,San Fernando,00876,JxC,8,2522,364,2023
2,105,San Fernando,00876,LLA,8,2522,471,2023
2,105,San Fernando,00876,NO_VOTANTES,8,2522,611,2023
2,105,San Fernando,00876,OTROS,8,2522,89,2023
2,105,San Fernando,00876,UxP,8,2522,752,2023
2,105,San Fernando,00876,VOTANTES,8,2522,1911,2023
2,105,San Fernando,00877,EN BLANCO,55,18891,1545,2023
2,105,San Fernando,00877,JxC,55,18891,2812,2023
2,105,San Fernando,00877,LLA,55,18891,3274,2023
2,105,San Fernando,00877,NO_VOTANTES,55,18891,4233,2023
2,105,San Fernando,00877,OTROS,55,18891,577,2023
2,105,San Fernando,00877,UxP,55,18891,6450,2023
