secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,anioEleccion,EN_BLANCO,JxC,LLA,NO_VOTANTES,OTROS,UxP,VOTANTES
2,1,Adolfo Alsina,00001,31,9779,2023,964,2365,1765,2746,152,1787,7033
2,1,Adolfo Alsina,00003,9,3124,2023,338,761,643,755,31,596,2369
2,1,Adolfo Alsina,00005,4,1137,2023,88,343,264,305,17,120,832
2,1,Adolfo Alsina,00006,1,99,2023,6,21,27,22,4,19,77
2,1,Adolfo Alsina,00007,2,529,2023,50,125,133,143,7,71,386
2,2,Alberti,00010,24,8038,2023,1020,2070,1266,1543,1,2138,6495
2,2,Alberti,00011,2,547,2023,18,76,64,124,3,262,423
2,2,Alberti,00012,1,254,2023,29,50,29,50,0,96,204
2,2,Alberti,00013,1,195,2023,20,53,51,19,0,52,176
2,2,Alberti,00014,2,639,2023,96,144,145,108,0,146,531
2,2,Alberti,00015,1,122,2023,12,18,10,20,0,62,102
2,3,Almirante Brown,00017,69,24107,2023,933,8474,3386,5557,936,4821,18550
2,3,Almirante Brown,00018,92,32015,2023,1796,5809,5067,7149,1535,10659,24866
2,3,Almirante Brown,00019,281,99133,2023,6725,12049,16157,23956,4139,36107,75177
2,3,Almirante Brown,00020,105,37717,2023,2029,6634,5452,11012,1537,11053,26705
2,3,Almirante Brown,00021,177,62722,2023,4310,7966,10103,15232,2812,22299,47490
2,3,Almirante Brown,00022,122,44221,2023,3253,4673,6875,12915,1532,14973,31306
2,3,Almirante Brown,0018A,166,58396,2023,4076,5499,8777,14076,2180,23788,44320
2,3,Almirante Brown,0020A,99,34589,2023,2577,3354,5771,8210,1298,13379,26379
2,3,Almirante Brown,0021A,50,17598,2023,1542,1328,2724,4865,525,6614,12733
2,3,Almirante Brown,0022A,158,56140,2023,3899,6143,8550,15375,2065,20108,40765
2,3,Almirante Brown,0022B,51,17920,2023,1174,1734,2662,5070,574,6706,12850
2,4,Avellaneda,00023,50,18304,2023,715,3908,1951,6318,496,4916,11986
2,4,Avellaneda,00024,32,10927,2023,620,2726,1519,2204,411,3447,8723
2,4,Avellaneda,00025,34,11584,2023,612,1671,1604,2876,431,4390,8708
2,4,Avellaneda,00026,19,6625,2023,500,255,457,1946,96,3371,4679
2,4,Avellaneda,00027,72,26036,2023,1609,2329,3105,7759,857,10377,18277
2,4,Avellaneda,00030,21,7699,2023,365,1458,954,2443,284,2195,5256
2,4,Avellaneda,00031,4,1340,2023,84,321,211,239,60,425,1101
2,4,Avellaneda,00032,13,4197,2023,273,772,592,794,137,1629,3403
2,4,Avellaneda,00033,35,11950,2023,622,2980,1878,2373,468,3629,9577
2,4,Avellaneda,00034,65,22832,2023,1135,3980,3228,5875,818,7796,16957
2,4,Avellaneda,00037,63,22304,2023,1123,4215,3350,4832,823,7961,17472
2,4,Avellaneda,00038,117,42039,2023,1981,7502,5468,11981,1390,13717,30058
2,4,Avellaneda,00039,165,58915,2023,3402,8071,7987,14918,1703,22834,43997
2,4,Avellaneda,00040,213,75770,2023,3949,14381,11163,19034,2618,24625,56736
2,5,Ayacucho,00046,55,18165,2023,2792,4476,2474,4214,358,3851,13951
2,5,Ayacucho,00050,2,79,2023,9,16,4,38,2,10,41
2,5,Ayacucho,00052,1,75,2023,5,30,15,12,5,8,63
2,5,Ayacucho,00055,1,107,2023,8,38,23,35,1,2,72
2,5,Ayacucho,00056,2,120,2023,12,26,20,47,3,12,73
2,5,Ayacucho,00057,1,22,2023,0,5,0,15,0,2,7
2,6,Azul,00060,152,52473,2023,5882,10131,10507,12067,1387,12499,40406
2,6,Azul,00061,1,79,2023,3,25,22,21,0,8,58
2,6,Azul,00062,9,2925,2023,230,661,658,991,42,343,1934
2,6,Azul,00063,1,25,2023,0,6,2,16,1,0,9
2,6,Azul,00065,1,32,2023,2,8,7,10,1,4,22
