secprov,seccionId,name,circuitoId,nombreAgrupacion,mesasTotalizadas,cantidadElectores,votos
02,001,Adolfo Alsina,00001,EN BLANCO,30,9417,368
02,001,Adolfo Alsina,00001,LLA_JxC,30,9417,1928
02,001,Adolfo Alsina,00001,NO_VOTANTES,30,9417,3866
02,001,Adolfo Alsina,00001,OTROS,30,9417,1343
02,001,Adolfo Alsina,00001,UxP,30,9417,1912
02,001,Adolfo Alsina,00003,EN BLANCO,9,3057,102
02,001,Adolfo Alsina,00003,LLA_JxC,9,3057,785
02,001,Adolfo Alsina,00003,NO_VOTANTES,9,3057,1270
02,001,Adolfo Alsina,00003,OTROS,9,3057,484
02,001,Adolfo Alsina,00003,UxP,9,3057,416
02,001,Adolfo Alsina,00005,EN BLANCO,4,1117,22
02,001,Adolfo Alsina,00005,LLA_JxC,4,1117,320
02,001,Adolfo Alsina,00005,NO_VOTANTES,4,1117,554
02,001,Adolfo Alsina,00005,OTROS,4,1117,148
02,001,Adolfo Alsina,00005,UxP,4,1117,73
02,001,Adolfo Alsina,00006,LLA_JxC,1,84,22
02,001,Adolfo Alsina,00006,NO_VOTANTES,1,84,35
02,001,Adolfo Alsina,00006,OTROS,1,84,15
02,001,Adolfo Alsina,00006,UxP,1,84,12
02,001,Adolfo Alsina,00007,EN BLANCO,2,527,19
02,001,Adolfo Alsina,00007,LLA_JxC,2,527,114
02,001,Adolfo Alsina,00007,NO_VOTANTES,2,527,214
02,001,Adolfo Alsina,00007,OTROS,2,527,104
02,001,Adolfo Alsina,00007,UxP,2,527,76
02,002,Alberti,00010,EN BLANCO,24,8189,246
02,002,Alberti,00010,LLA_JxC,24,8189,1479
02,002,Alberti,00010,NO_VOTANTES,24,8189,2761
02,002,Alberti,00010,OTROS,24,8189,1233
02,002,Alberti,00010,UxP,24,8189,2470
02,002,Alberti,00011,EN BLANCO,2,588,9
02,002,Alberti,00011,LLA_JxC,2,588,45
02,002,Alberti,00011,NO_VOTANTES,2,588,168
02,002,Alberti,00011,OTROS,2,588,49
02,002,Alberti,00011,UxP,2,588,317
02,002,Alberti,00012,EN BLANCO,1,255,7
02,002,Alberti,00012,LLA_JxC,1,255,18
02,002,Alberti,00012,NO_VOTANTES,1,255,91
02,002,Alberti,00012,OTROS,1,255,52
02,002,Alberti,00012,UxP,1,255,87
02,002,Alberti,00013,EN BLANCO,1,196,4
02,002,Alberti,00013,LLA_JxC,1,196,53
02,002,Alberti,00013,NO_VOTANTES,1,196,51
02,002,Alberti,00013,OTROS,1,196,36
02,002,Alberti,00013,UxP,1,196,52
02,002,Alberti,00014,EN BLANCO,2,617,16
02,002,Alberti,00014,LLA_JxC,2,617,136
02,002,Alberti,00014,NO_VOTANTES,2,617,203
02,002,Alberti,00014,OTROS,2,617,80
02,002,Alberti,00014,UxP,2,617,182
02,002,Alberti,00015,EN BLANCO,1,119,2
02,002,Alberti,00015,LLA_JxC,1,119,10
02,002,Alberti,00015,NO_VOTANTES,1,119,27
02,002,Alberti,00015,OTROS,1,119,9
02,002,Alberti,00015,UxP,1,119,71
02,003,Almirante Brown,00017,EN BLANCO,77,26977,665
02,003,Almirante Brown,00017,LLA_JxC,77,26977,8510
02,003,Almirante Brown,00017,NO_VOTANTES,77,26977,8686
02,003,Almirante Brown,00017,OTROS,77,26977,3424
02,003,Almirante Brown,00017,UxP,77,26977,5692
02,003,Almirante Brown,00018,EN BLANCO,105,37565,749
02,003,Almirante Brown,00018,LLA_JxC,105,37565,6969
02,003,Almirante Brown,00018,NO_VOTANTES,105,37565,13786
02,003,Almirante Brown,00018,OTROS,105,37565,4207
02,003,Almirante Brown,00018,UxP,105,37565,11854
02,003,Almirante Brown,00019,EN BLANCO,153,53308,838
02,003,Almirante Brown,00019,LLA_JxC,153,53308,8693
02,003,Almirante Brown,00019,NO_VOTANTES,153,53308,18868
02,003,Almirante Brown,00019,OTROS,153,53308,5670
02,003,Almirante Brown,00019,UxP,153,53308,19239
02,003,Almirante Brown,00020,EN BLANCO,175,61895,1207
02,003,Almirante Brown,00020,LLA_JxC,175,61895,11955
02,003,Almirante Brown,00020,NO_VOTANTES,175,61895,22828
02,003,Almirante Brown,00020,OTROS,175,61895,6716
02,003,Almirante Brown,00020,UxP,175,61895,19189
02,003,Almirante Brown,00021,EN BLANCO,154,54613,924
02,003,Almirante Brown,00021,LLA_JxC,154,54613,9564
02,003,Almirante Brown,00021,NO_VOTANTES,154,54613,19659
02,003,Almirante Brown,00021,OTROS,154,54613,6023
02,003,Almirante Brown,00021,UxP,154,54613,18443
02,003,Almirante Brown,00022,EN BLANCO,167,60052,963
02,003,Almirante Brown,00022,LLA_JxC,167,60052,9201
02,003,Almirante Brown,00022,NO_VOTANTES,167,60052,25475
02,003,Almirante Brown,00022,OTROS,167,60052,6067
02,003,Almirante Brown,00022,UxP,167,60052,18346
02,003,Almirante Brown,0018A,EN BLANCO,118,41244,729
02,003,Almirante Brown,0018A,LLA_JxC,118,41244,6159
02,003,Almirante Brown,0018A,NO_VOTANTES,118,41244,14742
02,003,Almirante Brown,0018A,OTROS,118,41244,4376
02,003,Almirante Brown,0018A,UxP,118,41244,15238
02,003,Almirante Brown,0020A,EN BLANCO,95,33027,604
02,003,Almirante Brown,0020A,LLA_JxC,95,33027,5368
02,003,Almirante Brown,0020A,NO_VOTANTES,95,33027,12140
02,003,Almirante Brown,0020A,OTROS,95,33027,3355
02,003,Almirante Brown,0020A,UxP,95,33027,11560
02,003,Almirante Brown,0021A,EN BLANCO,64,22552,354
02,003,Almirante Brown,0021A,LLA_JxC,64,22552,3253
02,003,Almirante Brown,0021A,NO_VOTANTES,64,22552,8838
02,003,Almirante Brown,0021A,OTROS,64,22552,2115
02,003,Almirante Brown,0021A,UxP,64,22552,7992
02,003,Almirante Brown,0022A,EN BLANCO,122,42513,736
02,003,Almirante Brown,0022A,LLA_JxC,122,42513,7006
02,003,Almirante Brown,0022A,NO_VOTANTES,122,42513,14946
02,003,Almirante Brown,0022A,OTROS,122,42513,4822
02,003,Almirante Brown,0022A,UxP,122,42513,15003
02,003,Almirante Brown,0022B,EN BLANCO,71,25556,430
02,003,Almirante Brown,0022B,LLA_JxC,71,25556,3433
02,003,Almirante Brown,0022B,NO_VOTANTES,71,25556,10435
02,003,Almirante Brown,0022B,OTROS,71,25556,2451
02,003,Almirante Brown,0022B,UxP,71,25556,8807
02,003,Almirante Brown,0022C,EN BLANCO,86,29866,561
02,003,Almirante Brown,0022C,LLA_JxC,86,29866,4440
02,003,Almirante Brown,0022C,NO_VOTANTES,86,29866,10699
02,003,Almirante Brown,0022C,OTROS,86,29866,3227
02,003,Almirante Brown,0022C,UxP,86,29866,10939
02,004,Avellaneda,00023,EN BLANCO,51,18598,370
02,004,Avellaneda,00023,LLA_JxC,51,18598,3808
02,004,Avellaneda,00023,NO_VOTANTES,51,18598,7574
02,004,Avellaneda,00023,OTROS,51,18598,1300
02,004,Avellaneda,00023,UxP,51,18598,5546
02,004,Avellaneda,00024,EN BLANCO,32,10919,251
02,004,Avellaneda,00024,LLA_JxC,32,10919,2491
02,004,Avellaneda,00024,NO_VOTANTES,32,10919,3445
02,004,Avellaneda,00024,OTROS,32,10919,1026
02,004,Avellaneda,00024,UxP,32,10919,3706
02,004,Avellaneda,00025,EN BLANCO,34,11888,252
02,004,Avellaneda,00025,LLA_JxC,34,11888,1763
02,004,Avellaneda,00025,NO_VOTANTES,34,11888,4364
02,004,Avellaneda,00025,OTROS,34,11888,666
02,004,Avellaneda,00025,UxP,34,11888,4843
02,004,Avellaneda,00026,EN BLANCO,21,7072,94
02,004,Avellaneda,00026,LLA_JxC,21,7072,275
02,004,Avellaneda,00026,NO_VOTANTES,21,7072,2772
02,004,Avellaneda,00026,OTROS,21,7072,242
02,004,Avellaneda,00026,UxP,21,7072,3689
02,004,Avellaneda,00027,EN BLANCO,72,25985,468
02,004,Avellaneda,00027,LLA_JxC,72,25985,2670
02,004,Avellaneda,00027,NO_VOTANTES,72,25985,11089
02,004,Avellaneda,00027,OTROS,72,25985,1206
02,004,Avellaneda,00027,UxP,72,25985,10552
02,004,Avellaneda,00030,EN BLANCO,20,7131,120
02,004,Avellaneda,00030,LLA_JxC,20,7131,1283
02,004,Avellaneda,00030,NO_VOTANTES,20,7131,2986
02,004,Avellaneda,00030,OTROS,20,7131,580
02,004,Avellaneda,00030,UxP,20,7131,2162
02,004,Avellaneda,00031,EN BLANCO,4,1356,40
02,004,Avellaneda,00031,LLA_JxC,4,1356,313
02,004,Avellaneda,00031,NO_VOTANTES,4,1356,387
02,004,Avellaneda,00031,OTROS,4,1356,110
02,004,Avellaneda,00031,UxP,4,1356,506
02,004,Avellaneda,00032,EN BLANCO,13,4270,137
02,004,Avellaneda,00032,LLA_JxC,13,4270,545
02,004,Avellaneda,00032,NO_VOTANTES,13,4270,1311
02,004,Avellaneda,00032,OTROS,13,4270,427
02,004,Avellaneda,00032,UxP,13,4270,1850
02,004,Avellaneda,00033,EN BLANCO,34,11704,244
02,004,Avellaneda,00033,LLA_JxC,34,11704,2690
02,004,Avellaneda,00033,NO_VOTANTES,34,11704,3701
02,004,Avellaneda,00033,OTROS,34,11704,1098
02,004,Avellaneda,00033,UxP,34,11704,3971
02,004,Avellaneda,00034,EN BLANCO,62,22012,467
02,004,Avellaneda,00034,LLA_JxC,62,22012,3848
02,004,Avellaneda,00034,NO_VOTANTES,62,22012,7521
02,004,Avellaneda,00034,OTROS,62,22012,1459
02,004,Avellaneda,00034,UxP,62,22012,8717
02,004,Avellaneda,00037,EN BLANCO,65,22526,472
02,004,Avellaneda,00037,LLA_JxC,65,22526,4199
02,004,Avellaneda,00037,NO_VOTANTES,65,22526,7640
02,004,Avellaneda,00037,OTROS,65,22526,1553
02,004,Avellaneda,00037,UxP,65,22526,8662
02,004,Avellaneda,00038,EN BLANCO,119,42492,832
02,004,Avellaneda,00038,LLA_JxC,119,42492,7297
02,004,Avellaneda,00038,NO_VOTANTES,119,42492,16120
02,004,Avellaneda,00038,OTROS,119,42492,2778
02,004,Avellaneda,00038,UxP,119,42492,15465
02,004,Avellaneda,00039,EN BLANCO,167,59366,1262
02,004,Avellaneda,00039,LLA_JxC,167,59366,8302
02,004,Avellaneda,00039,NO_VOTANTES,167,59366,22030
02,004,Avellaneda,00039,OTROS,167,59366,3085
02,004,Avellaneda,00039,UxP,167,59366,24687
02,004,Avellaneda,00040,EN BLANCO,217,76615,1692
02,004,Avellaneda,00040,LLA_JxC,217,76615,14422
02,004,Avellaneda,00040,NO_VOTANTES,217,76615,27577
02,004,Avellaneda,00040,OTROS,217,76615,5257
02,004,Avellaneda,00040,UxP,217,76615,27667
02,005,Ayacucho,00046,EN BLANCO,55,18370,799
02,005,Ayacucho,00046,LLA_JxC,55,18370,2789
02,005,Ayacucho,00046,NO_VOTANTES,55,18370,7385
02,005,Ayacucho,00046,OTROS,55,18370,3314
02,005,Ayacucho,00046,UxP,55,18370,4083
02,005,Ayacucho,00050,LLA_JxC,2,79,7
02,005,Ayacucho,00050,NO_VOTANTES,2,79,60
02,005,Ayacucho,00050,OTROS,2,79,1
02,005,Ayacucho,00050,UxP,2,79,11
02,005,Ayacucho,00052,EN BLANCO,1,75,5
02,005,Ayacucho,00052,LLA_JxC,1,75,12
02,005,Ayacucho,00052,NO_VOTANTES,1,75,42
02,005,Ayacucho,00052,OTROS,1,75,12
02,005,Ayacucho,00052,UxP,1,75,4
02,005,Ayacucho,00054,LLA_JxC,2,134,25
02,005,Ayacucho,00054,NO_VOTANTES,2,134,78
02,005,Ayacucho,00054,OTROS,2,134,16
02,005,Ayacucho,00054,UxP,2,134,15
02,005,Ayacucho,00055,EN BLANCO,1,93,6
02,005,Ayacucho,00055,LLA_JxC,1,93,14
02,005,Ayacucho,00055,NO_VOTANTES,1,93,52
02,005,Ayacucho,00055,OTROS,1,93,18
02,005,Ayacucho,00055,UxP,1,93,3
02,005,Ayacucho,00057,LLA_JxC,1,17,3
02,005,Ayacucho,00057,NO_VOTANTES,1,17,9
02,005,Ayacucho,00057,OTROS,1,17,0
02,005,Ayacucho,00057,UxP,1,17,5
02,006,Azul,00060,EN BLANCO,153,53471,2047
02,006,Azul,00060,LLA_JxC,153,53471,10503
02,006,Azul,00060,NO_VOTANTES,153,53471,20967
02,006,Azul,00060,OTROS,153,53471,8819
02,006,Azul,00060,UxP,153,53471,11135
02,006,Azul,00061,EN BLANCO,1,79,5
02,006,Azul,00061,LLA_JxC,1,79,18
02,006,Azul,00061,NO_VOTANTES,1,79,35
02,006,Azul,00061,OTROS,1,79,14
02,006,Azul,00061,UxP,1,79,7
02,006,Azul,00062,EN BLANCO,9,2905,60
02,006,Azul,00062,LLA_JxC,9,2905,799
02,006,Azul,00062,NO_VOTANTES,9,2905,1323
02,006,Azul,00062,OTROS,9,2905,387
02,006,Azul,00062,UxP,9,2905,336
02,006,Azul,00063,EN BLANCO,1,19,7
02,006,Azul,00063,LLA_JxC,1,19,3
02,006,Azul,00063,NO_VOTANTES,1,19,5
02,006,Azul,00063,OTROS,1,19,2
02,006,Azul,00063,UxP,1,19,2
02,006,Azul,00065,EN BLANCO,1,23,1
02,006,Azul,00065,LLA_JxC,1,23,6
02,006,Azul,00065,NO_VOTANTES,1,23,10
02,006,Azul,00065,OTROS,1,23,3
02,006,Azul,00065,UxP,1,23,3
02,006,Azul,00066,EN BLANCO,2,91,7
02,006,Azul,00066,LLA_JxC,2,91,25
02,006,Azul,00066,NO_VOTANTES,2,91,36
02,006,Azul,00066,OTROS,2,91,7
02,006,Azul,00066,UxP,2,91,16
02,006,Azul,00067,EN BLANCO,11,3294,122
02,006,Azul,00067,LLA_JxC,11,3294,710
02,006,Azul,00067,NO_VOTANTES,11,3294,1401
02,006,Azul,00067,OTROS,11,3294,530
02,006,Azul,00067,UxP,11,3294,531
02,006,Azul,0062A,EN BLANCO,1,98,8
02,006,Azul,0062A,LLA_JxC,1,98,16
02,006,Azul,0062A,NO_VOTANTES,1,98,46
02,006,Azul,0062A,OTROS,1,98,21
02,006,Azul,0062A,UxP,1,98,7
02,006,Azul,0062B,EN BLANCO,1,90,1
02,006,Azul,0062B,LLA_JxC,1,90,15
02,006,Azul,0062B,NO_VOTANTES,1,90,47
02,006,Azul,0062B,OTROS,1,90,18
02,006,Azul,0062B,UxP,1,90,9
02,007,Bahia Blanca,00072,EN BLANCO,34,12460,257
02,007,Bahia Blanca,00072,LLA_JxC,34,12460,3019
02,007,Bahia Blanca,00072,NO_VOTANTES,34,12460,6217
02,007,Bahia Blanca,00072,OTROS,34,12460,1348
02,007,Bahia Blanca,00072,UxP,34,12460,1619
02,007,Bahia Blanca,00073,EN BLANCO,77,27980,713
02,007,Bahia Blanca,00073,LLA_JxC,77,27980,6408
02,007,Bahia Blanca,00073,NO_VOTANTES,77,27980,13807
02,007,Bahia Blanca,00073,OTROS,77,27980,2937
02,007,Bahia Blanca,00073,UxP,77,27980,4115
02,007,Bahia Blanca,00074,EN BLANCO,61,21089,660
02,007,Bahia Blanca,00074,LLA_JxC,61,21089,4916
02,007,Bahia Blanca,00074,NO_VOTANTES,61,21089,8329
02,007,Bahia Blanca,00074,OTROS,61,21089,3095
02,007,Bahia Blanca,00074,UxP,61,21089,4089
02,007,Bahia Blanca,00075,EN BLANCO,26,8905,310
02,007,Bahia Blanca,00075,LLA_JxC,26,8905,2825
02,007,Bahia Blanca,00075,NO_VOTANTES,26,8905,2968
02,007,Bahia Blanca,00075,OTROS,26,8905,1276
02,007,Bahia Blanca,00075,UxP,26,8905,1526
02,007,Bahia Blanca,00076,EN BLANCO,120,41660,1429
02,007,Bahia Blanca,00076,LLA_JxC,120,41660,10788
02,007,Bahia Blanca,00076,NO_VOTANTES,120,41660,15846
02,007,Bahia Blanca,00076,OTROS,120,41660,5536
02,007,Bahia Blanca,00076,UxP,120,41660,8061
02,007,Bahia Blanca,00077,EN BLANCO,16,5320,161
02,007,Bahia Blanca,00077,LLA_JxC,16,5320,1458
02,007,Bahia Blanca,00077,NO_VOTANTES,16,5320,2099
02,007,Bahia Blanca,00077,OTROS,16,5320,626
02,007,Bahia Blanca,00077,UxP,16,5320,976
02,007,Bahia Blanca,00078,EN BLANCO,14,4881,165
02,007,Bahia Blanca,00078,LLA_JxC,14,4881,1552
02,007,Bahia Blanca,00078,NO_VOTANTES,14,4881,1634
02,007,Bahia Blanca,00078,OTROS,14,4881,680
02,007,Bahia Blanca,00078,UxP,14,4881,850
02,007,Bahia Blanca,00079,EN BLANCO,21,7091,211
02,007,Bahia Blanca,00079,LLA_JxC,21,7091,2292
