secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,EN_BLANCO,LLA_JxC,NO_VOTANTES,OTROS,UxP
2,1,Adolfo Alsina,00001,30,9417,368,1928,3866,1343,1912
2,1,Adolfo Alsina,00003,9,3057,102,785,1270,484,416
2,1,Adolfo Alsina,00005,4,1117,22,320,554,148,73
2,1,Adolfo Alsina,00006,1,84,0,22,35,15,12
2,1,Adolfo Alsina,00007,2,527,19,114,214,104,76
2,2,Alberti,00010,24,8189,246,1479,2761,1233,2470
2,2,Alberti,00011,2,588,9,45,168,49,317
2,2,Alberti,00012,1,255,7,18,91,52,87
2,2,Alberti,00013,1,196,4,53,51,36,52
2,2,Alberti,00014,2,617,16,136,203,80,182
2,2,Alberti,00015,1,119,2,10,27,9,71
2,3,Almirante Brown,00017,77,26977,665,8510,8686,3424,5692
2,3,Almirante Brown,00018,105,37565,749,6969,13786,4207,11854
2,3,Almirante Brown,00019,153,53308,838,8693,18868,5670,19239
2,3,Almirante Brown,00020,175,61895,1207,11955,22828,6716,19189
2,3,Almirante Brown,00021,154,54613,924,9564,19659,6023,18443
2,3,Almirante Brown,00022,167,60052,963,9201,25475,6067,18346
2,3,Almirante Brown,0018A,118,41244,729,6159,14742,4376,15238
2,3,Almirante Brown,0020A,95,33027,604,5368,12140,3355,11560
2,3,Almirante Brown,0021A,64,22552,354,3253,8838,2115,7992
2,3,Almirante Brown,0022A,122,42513,736,7006,14946,4822,15003
2,3,Almirante Brown,0022B,71,25556,430,3433,10435,2451,8807
2,3,Almirante Brown,0022C,86,29866,561,4440,10699,3227,10939
2,4,Avellaneda,00023,51,18598,370,3808,7574,1300,5546
2,4,Avellaneda,00024,32,10919,251,2491,3445,1026,3706
2,4,Avellaneda,00025,34,11888,252,1763,4364,666,4843
2,4,Avellaneda,00026,21,7072,94,275,2772,242,3689
2,4,Avellaneda,00027,72,25985,468,2670,11089,1206,10552
2,4,Avellaneda,00030,20,7131,120,1283,2986,580,2162
2,4,Avellaneda,00031,4,1356,40,313,387,110,506
2,4,Avellaneda,00032,13,4270,137,545,1311,427,1850
2,4,Avellaneda,00033,34,11704,244,2690,3701,1098,3971
2,4,Avellaneda,00034,62,22012,467,3848,7521,1459,8717
2,4,Avellaneda,00037,65,22526,472,4199,7640,1553,8662
2,4,Avellaneda,00038,119,42492,832,7297,16120,2778,15465
2,4,Avellaneda,00039,167,59366,1262,8302,22030,3085,24687
2,4,Avellaneda,00040,217,76615,1692,14422,27577,5257,27667
2,5,Ayacucho,00046,55,18370,799,2789,7385,3314,4083
2,5,Ayacucho,00050,2,79,0,7,60,1,11
2,5,Ayacucho,00052,1,75,5,12,42,12,4
2,5,Ayacucho,00054,2,134,0,25,78,16,15
2,5,Ayacucho,00055,1,93,6,14,52,18,3
2,5,Ayacucho,00057,1,17,0,3,9,0,5
2,6,Azul,00060,153,53471,2047,10503,20967,8819,11135
2,6,Azul,00061,1,79,5,18,35,14,7
2,6,Azul,00062,9,2905,60,799,1323,387,336
2,6,Azul,00063,1,19,7,3,5,2,2
2,6,Azul,00065,1,23,1,6,10,3,3
2,6,Azul,00066,2,91,7,25,36,7,16
2,6,Azul,00067,11,3294,122,710,1401,530,531
2,6,Azul,0062A,1,98,8,16,46,21,7
2,6,Azul,0062B,1,90,1,15,47,18,9
2,7,Bahia Blanca,00072,34,12460,257,3019,6217,1348,1619
2,7,Bahia Blanca,00073,77,27980,713,6408,13807,2937,4115
2,7,Bahia Blanca,00074,61,21089,660,4916,8329,3095,4089
2,7,Bahia Blanca,00075,26,8905,310,2825,2968,1276,1526
2,7,Bahia Blanca,00076,120,41660,1429,10788,15846,5536,8061
2,7,Bahia Blanca,00077,16,5320,161,1458,2099,626,976
2,7,Bahia Blanca,00078,14,4881,165,1552,1634,680,850
2,7,Bahia Blanca,00079,21,7091,211,2292,2503,867,1218
2,7,Bahia Blanca,00080,7,2117,44,562,880,347,284
2,7,Bahia Blanca,00083,32,11129,315,3721,3864,1582,1647
2,7,Bahia Blanca,00084,29,9837,279,3162,3462,1406,1528
2,7,Bahia Blanca,00085,82,28688,935,8807,9766,4304,4876
2,7,Bahia Blanca,00086,70,24495,746,7224,8357,3732,4436
2,7,Bahia Blanca,00087,46,16029,513,3613,6562,2040,3301
2,7,Bahia Blanca,00088,19,6347,137,1580,2602,938,1090
2,7,Bahia Blanca,00089,25,8697,265,3124,2817,1241,1250
2,7,Bahia Blanca,00090,1,25,0,9,9,4,3
2,7,Bahia Blanca,00091,41,14127,425,3025,6311,1669,2697
2,7,Bahia Blanca,00092,23,8081,232,1542,3535,908,1864
2,7,Bahia Blanca,00093,14,4554,118,1006,1847,572,1011
2,8,Balcarce,00098,114,39923,1666,8591,15180,9362,5124
2,8,Balcarce,00099,2,601,15,89,236,198,63
2,8,Balcarce,00100,1,270,5,66,134,38,27
2,8,Balcarce,00101,2,491,15,79,236,114,47
2,8,Balcarce,00102,1,107,2,26,60,11,8
2,8,Balcarce,00103,1,119,3,28,69,15,4
2,8,Balcarce,00104,1,263,10,79,107,45,22
2,8,Balcarce,0103A,1,284,5,69,128,61,21
2,9,Baradero,00105,65,22578,4187,2412,7844,4126,4009
2,9,Baradero,00106,2,539,43,93,210,114,79
2,9,Baradero,00107,19,6021,1064,499,2618,751,1089
2,9,Baradero,00109,2,706,97,45,469,41,54
2,9,Baradero,00110,2,481,104,16,229,96,36
2,9,Baradero,00111,1,235,43,16,72,40,64
2,9,Baradero,00113,5,1369,169,142,665,171,222
2,10,Arrecifes,00117,73,25269,1839,4850,8712,3136,6732
2,10,Arrecifes,00118,2,682,89,149,183,91,170
2,10,Arrecifes,00120,2,474,43,103,163,45,120
2,10,Arrecifes,0117A,1,70,6,19,25,9,11
2,10,Arrecifes,0117B,1,95,6,22,40,12,15
