secprov,seccionId,name,circuitoId,nombreAgrupacion,mesasTotalizadas,cantidadElectores,votos
02,001,"",00001,EN BLANCO,30,9578,452
02,001,"",00001,FP,30,9578,1810
02,001,"",00001,LLA,30,9578,3011
02,001,"",00001,NO_VOTANTES,30,9578,3361
02,001,"",00001,OTROS,30,9578,943
02,001,"",00003,EN BLANCO,8,2706,101
02,001,"",00003,FP,8,2706,400
02,001,"",00003,LLA,8,2706,923
02,001,"",00003,NO_VOTANTES,8,2706,1004
02,001,"",00003,OTROS,8,2706,278
02,001,"",00005,EN BLANCO,4,1118,27
02,001,"",00005,FP,4,1118,94
02,001,"",00005,LLA,4,1118,461
02,001,"",00005,NO_VOTANTES,4,1118,435
02,001,"",00005,OTROS,4,1118,96
02,001,"",00006,FP,1,83,17
02,001,"",00006,LLA,1,83,32
02,001,"",00006,NO_VOTANTES,1,83,25
02,001,"",00006,OTROS,1,83,9
02,001,"",00007,EN BLANCO,2,524,22
02,001,"",00007,FP,2,524,56
02,001,"",00007,LLA,2,524,190
02,001,"",00007,NO_VOTANTES,2,524,200
02,001,"",00007,OTROS,2,524,56
02,002,"",00010,EN BLANCO,23,7989,244
02,002,"",00010,FP,23,7989,1932
02,002,"",00010,LLA,23,7989,2661
02,002,"",00010,NO_VOTANTES,23,7989,2344
02,002,"",00010,OTROS,23,7989,800
02,002,"",00011,EN BLANCO,2,586,10
02,002,"",00011,FP,2,586,282
02,002,"",00011,LLA,2,586,108
02,002,"",00011,NO_VOTANTES,2,586,139
02,002,"",00011,OTROS,2,586,47
02,002,"",00012,EN BLANCO,1,254,4
02,002,"",00012,FP,1,254,75
02,002,"",00012,LLA,1,254,70
02,002,"",00012,NO_VOTANTES,1,254,80
02,002,"",00012,OTROS,1,254,23
02,002,"",00013,EN BLANCO,1,196,4
02,002,"",00013,FP,1,196,29
02,002,"",00013,LLA,1,196,88
02,002,"",00013,NO_VOTANTES,1,196,63
02,002,"",00013,OTROS,1,196,12
02,002,"",00014,EN BLANCO,2,614,11
02,002,"",00014,FP,2,614,129
02,002,"",00014,LLA,2,614,247
02,002,"",00014,NO_VOTANTES,2,614,182
02,002,"",00014,OTROS,2,614,45
02,002,"",00015,EN BLANCO,1,120,1
02,002,"",00015,FP,1,120,67
02,002,"",00015,LLA,1,120,24
02,002,"",00015,NO_VOTANTES,1,120,23
02,002,"",00015,OTROS,1,120,5
02,003,"",00017,EN BLANCO,74,25632,473
02,003,"",00017,FP,74,25632,5104
02,003,"",00017,LLA,74,25632,9902
02,003,"",00017,NO_VOTANTES,74,25632,6759
02,003,"",00017,OTROS,74,25632,3391
02,003,"",00018,EN BLANCO,92,31998,669
02,003,"",00018,FP,92,31998,10577
02,003,"",00018,LLA,92,31998,8234
02,003,"",00018,NO_VOTANTES,92,31998,8443
02,003,"",00018,OTROS,92,31998,4052
02,003,"",00019,EN BLANCO,152,52894,1039
02,003,"",00019,FP,152,52894,18400
02,003,"",00019,LLA,152,52894,11006
02,003,"",00019,NO_VOTANTES,152,52894,16589
02,003,"",00019,OTROS,152,52894,5816
02,003,"",00020,EN BLANCO,166,57812,1234
02,003,"",00020,FP,166,57812,17700
02,003,"",00020,LLA,166,57812,14718
02,003,"",00020,NO_VOTANTES,166,57812,16966
02,003,"",00020,OTROS,166,57812,7167
02,003,"",00021,EN BLANCO,146,50933,1112
02,003,"",00021,FP,146,50933,17185
02,003,"",00021,LLA,146,50933,11805
02,003,"",00021,NO_VOTANTES,146,50933,14797
02,003,"",00021,OTROS,146,50933,6010
02,003,"",00022,EN BLANCO,149,52031,1100
02,003,"",00022,FP,149,52031,16867
02,003,"",00022,LLA,149,52031,10864
02,003,"",00022,NO_VOTANTES,149,52031,17485
02,003,"",00022,OTROS,149,52031,5698
02,003,"",0018A,EN BLANCO,114,39912,810
02,003,"",0018A,FP,114,39912,14930
02,003,"",0018A,LLA,114,39912,7623
02,003,"",0018A,NO_VOTANTES,114,39912,12009
02,003,"",0018A,OTROS,114,39912,4514
02,003,"",0020A,EN BLANCO,91,31503,708
02,003,"",0020A,FP,91,31503,10600
