 seccionId,nombre,categoriaId,indice, distritoId, seccionProvincialId, municipioId,circuitoId,electores2025,votantes2025,electores2023,votantes2023
2,Alberti,5,604,2,4,62,10,8023,6483,8038,6495
2,Alberti,5,615,2,4,1994,11,588,455,547,423
2,Alberti,5,616,2,4,2279,12,255,205,254,204
2,Alberti,5,623,2,4,786,13,196,177,195,176
2,Alberti,5,632,2,4,783,14,617,513,639,531
2,Alberti,5,639,2,4,29,15,119,99,122,102
5,Ayacucho,5,837,2,5,217,46,18180,13963,18165,13951
5,Ayacucho,5,838,2,5,823,50,50,26,79,41
5,Ayacucho,5,839,2,5,2764,52,75,63,75,63
5,Ayacucho,5,850,2,5,217,54,33,24,0,0
5,Ayacucho,5,861,2,5,1653,55,93,63,107,72
5,Ayacucho,5,882,2,5,821,57,17,5,22,7
6,Azul,5,889,2,7,222,60,52830,40681,52473,40406
6,Azul,5,894,2,7,1509,61,79,58,79,58
6,Azul,5,900,2,7,582,62,2905,1921,2925,1934
6,Azul,5,910,2,7,832,63,19,7,25,9
6,Azul,5,922,2,7,822,65,23,16,32,22
6,Azul,5,933,2,7,825,66,72,51,108,77
6,Azul,5,952,2,7,367,67,3283,2172,3297,2181
6,Azul,5,908,2,7,4,0062A,98,65,109,72
6,Azul,5,909,2,7,2154,0062B,90,61,101,68
8,Balcarce,5,1133,2,5,246,98,39111,29874,39642,30280
8,Balcarce,5,1143,2,5,2547,99,601,436,614,445
8,Balcarce,5,605,2,5,826,100,270,179,280,186
8,Balcarce,5,610,2,5,1848,101,491,301,490,300
8,Balcarce,5,611,2,5,677,102,107,60,118,66
8,Balcarce,5,612,2,5,2429,103,119,83,128,89
8,Balcarce,5,614,2,5,246,104,263,191,262,190
8,Balcarce,5,613,2,5,2082,0103A,284,222,296,231
13,Bolivar,5,617,2,7,332,125,27043,21559,27251,21725
13,Bolivar,5,619,2,7,1004,126,37,23,40,25
13,Bolivar,5,620,2,7,1303,127,225,176,230,180
13,Bolivar,5,621,2,7,3140,128,48,30,53,33
13,Bolivar,5,622,2,7,1971,129,44,30,52,35
13,Bolivar,5,624,2,7,1443,131,35,25,40,29
13,Bolivar,5,626,2,7,2912,132,2498,1948,2530,1973
13,Bolivar,5,627,2,7,2277,133,1354,1084,1374,1100
13,Bolivar,5,618,2,7,2194,0125A,37,26,37,26
13,Bolivar,5,625,2,7,2229,0131A,43,28,54,35
14,Bragado,5,628,2,4,343,136,32597,24992,32655,25036
14,Bragado,5,629,2,4,1994,137,1049,850,1056,856
14,Bragado,5,630,2,4,1548,138,121,97,123,99
14,Bragado,5,631,2,4,200,139,16,8,18,9
14,Bragado,5,633,2,4,752,140,586,486,608,504
14,Bragado,5,634,2,4,2131,141,218,178,220,180
14,Bragado,5,635,2,4,1988,142,64,50,72,56
14,Bragado,5,636,2,4,1197,143,2212,1647,2214,1648
14,Bragado,5,637,2,4,3181,144,388,305,399,314
14,Bragado,5,638,2,4,1389,145,352,281,362,289
16,Campana,5,640,2,1,393,155,20481,16191,20272,16026
16,Campana,5,642,2,1,393,156,18136,13127,17527,12686
16,Campana,5,641,2,1,393,0155A,17501,12864,20511,15077
